timestamp,video_id,viewers,started_at,duration,status_text,url
1662570900,xI6ph__1wnc,4325,1662566757,4145,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=4145
1662570961,xI6ph__1wnc,4311,1662566757,4206,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=4206
1662571021,xI6ph__1wnc,4325,1662566757,4266,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=4266
1662571081,xI6ph__1wnc,4347,1662566757,4326,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=4326
1662571140,xI6ph__1wnc,4292,1662566757,4385,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=4385
1662571201,xI6ph__1wnc,4252,1662566757,4446,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=4446
1662571261,xI6ph__1wnc,4274,1662566757,4506,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=4506
1662571321,xI6ph__1wnc,4292,1662566757,4566,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=4566
1662571380,xI6ph__1wnc,4324,1662566757,4625,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=4625
1662571441,xI6ph__1wnc,4329,1662566757,4686,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=4686
1662571500,xI6ph__1wnc,4383,1662566757,4745,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=4745
1662571561,xI6ph__1wnc,4346,1662566757,4806,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=4806
1662571621,xI6ph__1wnc,4347,1662566757,4866,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=4866
1662571680,xI6ph__1wnc,4348,1662566757,4925,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=4925
1662571740,xI6ph__1wnc,4336,1662566757,4985,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=4985
1662571800,xI6ph__1wnc,4373,1662566757,5045,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=5045
1662571861,xI6ph__1wnc,4384,1662566757,5106,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=5106
1662571921,xI6ph__1wnc,4421,1662566757,5166,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=5166
1662571980,xI6ph__1wnc,4446,1662566757,5225,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=5225
1662572040,xI6ph__1wnc,4455,1662566757,5285,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=5285
1662572100,xI6ph__1wnc,4448,1662566757,5345,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=5345
1662572161,xI6ph__1wnc,4460,1662566757,5406,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=5406
1662572221,xI6ph__1wnc,4461,1662566757,5466,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=5466
1662572281,xI6ph__1wnc,4485,1662566757,5526,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=5526
1662572341,xI6ph__1wnc,4540,1662566757,5586,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=5586
1662572401,xI6ph__1wnc,4580,1662566757,5646,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=5646
