timestamp,video_id,viewers,started_at,duration,status_text,url
1662673322,haYOA1fMg54,8944,1662655106,18216,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=18216
1662673382,haYOA1fMg54,8975,1662655106,18277,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=18277
1662673442,haYOA1fMg54,8970,1662655106,18336,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=18336
1662673502,haYOA1fMg54,9020,1662655106,18397,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=18397
1662673563,haYOA1fMg54,9076,1662655106,18457,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=18457
1662673623,haYOA1fMg54,9039,1662655106,18517,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=18517
1662673682,haYOA1fMg54,9036,1662655106,18577,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=18577
1662673742,haYOA1fMg54,9037,1662655106,18636,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=18636
1662673802,haYOA1fMg54,8996,1662655106,18696,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=18696
1662673862,haYOA1fMg54,9000,1662655106,18757,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=18757
1662673923,haYOA1fMg54,8957,1662655106,18817,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=18817
1662673982,haYOA1fMg54,9020,1662655106,18876,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=18876
1662674042,haYOA1fMg54,9013,1662655106,18937,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=18937
1662674102,haYOA1fMg54,8981,1662655106,18997,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=18997
1662674162,haYOA1fMg54,9010,1662655106,19056,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=19056
1662674222,haYOA1fMg54,9071,1662655106,19117,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=19117
1662674282,haYOA1fMg54,9009,1662655106,19176,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=19176
1662674342,haYOA1fMg54,9059,1662655106,19236,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=19236
1662674403,haYOA1fMg54,9040,1662655106,19298,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=19298
1662674462,haYOA1fMg54,9014,1662655106,19356,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=19356
1662674522,haYOA1fMg54,9048,1662655106,19417,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=19417
1662674582,haYOA1fMg54,8910,1662655106,19476,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=19476
1662674642,haYOA1fMg54,8844,1662655106,19537,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=19537
1662674702,haYOA1fMg54,8692,1662655106,19597,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=19597
1662674762,haYOA1fMg54,8647,1662655106,19656,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=19656
1662674823,haYOA1fMg54,8575,1662655106,19718,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=19718
1662674882,haYOA1fMg54,8495,1662655106,19776,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=19776
1662674942,haYOA1fMg54,8466,1662655106,19837,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=19837
1662675002,haYOA1fMg54,8467,1662655106,19896,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=19896
1662675062,haYOA1fMg54,8439,1662655106,19957,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=19957
1662675123,haYOA1fMg54,8398,1662655106,20018,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=20018
1662675182,haYOA1fMg54,8394,1662655106,20077,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=20077
1662675243,haYOA1fMg54,8367,1662655106,20137,"Watching djmuel's ""Xanderhal is not your ally"" video against debate bros :(",https://youtu.be/haYOA1fMg54?t=20137
